,Date,Time,CO(GT),C6H6(GT),NOx(GT),NO2(GT)
0,3/10/04,18:00:00,2.6,11.9,166,113
1,3/10/04,19:00:00,2.0,9.4,103,92
2,3/10/04,20:00:00,2.2,9.0,131,114
3,3/10/04,21:00:00,2.2,9.2,172,122
4,3/10/04,22:00:00,1.6,6.5,131,116
5,3/10/04,23:00:00,1.2,4.7,89,96
6,3/11/04,0:00:00,1.2,3.6,62,77
7,3/11/04,1:00:00,1.0,3.3,62,76
8,3/11/04,2:00:00,0.9,2.3,45,60
9,3/11/04,3:00:00,0.6,1.7,-200,-200
10,3/11/04,4:00:00,-200.0,1.3,21,34
11,3/11/04,5:00:00,0.7,1.1,16,28
12,3/11/04,6:00:00,0.7,1.6,34,48
13,3/11/04,7:00:00,1.1,3.2,98,82
14,3/11/04,8:00:00,2.0,8.0,174,112
15,3/11/04,9:00:00,2.2,9.5,129,101
16,3/11/04,10:00:00,1.7,6.3,112,98
17,3/11/04,11:00:00,1.5,5.0,95,92
18,3/11/04,12:00:00,1.6,5.2,104,95
19,3/11/04,13:00:00,1.9,7.3,146,112
20,3/11/04,14:00:00,2.9,11.5,207,128
21,3/11/04,15:00:00,2.2,8.8,184,126
22,3/11/04,16:00:00,2.2,8.3,193,131
23,3/11/04,17:00:00,2.9,11.2,243,135
24,3/11/04,18:00:00,4.8,20.8,281,151
25,3/11/04,19:00:00,6.9,27.4,383,172
26,3/11/04,20:00:00,6.1,24.0,351,165
27,3/11/04,21:00:00,3.9,12.8,240,136
28,3/11/04,22:00:00,1.5,4.7,94,85
29,3/11/04,23:00:00,1.0,2.6,47,53
30,3/12/04,0:00:00,1.7,5.9,122,97
31,3/12/04,1:00:00,1.9,6.4,133,110
32,3/12/04,2:00:00,1.4,4.1,82,91
33,3/12/04,3:00:00,0.8,1.9,-200,-200
34,3/12/04,4:00:00,-200.0,1.1,21,32
35,3/12/04,5:00:00,0.6,1.0,30,44
36,3/12/04,6:00:00,0.8,1.8,56,71
37,3/12/04,7:00:00,1.4,4.4,109,104
38,3/12/04,8:00:00,4.4,17.9,307,141
39,3/12/04,9:00:00,-200.0,22.1,-200,-200
40,3/12/04,10:00:00,3.1,14.0,187,122
41,3/12/04,11:00:00,2.7,11.6,216,143
42,3/12/04,12:00:00,2.1,10.2,143,113
43,3/12/04,13:00:00,2.5,11.0,160,116
44,3/12/04,14:00:00,2.7,12.8,163,123
45,3/12/04,15:00:00,2.9,14.2,190,126
46,3/12/04,16:00:00,2.8,12.7,178,120
47,3/12/04,17:00:00,2.4,11.7,150,119
48,3/12/04,18:00:00,3.9,19.3,206,149
49,3/12/04,19:00:00,3.7,18.2,202,145
50,3/12/04,20:00:00,6.6,32.6,340,170
51,3/12/04,21:00:00,4.4,20.1,274,149
52,3/12/04,22:00:00,3.5,14.3,253,139
53,3/12/04,23:00:00,5.4,21.8,300,134
54,3/13/04,0:00:00,2.7,9.6,193,113
55,3/13/04,1:00:00,1.9,7.4,139,97
56,3/13/04,2:00:00,1.6,5.4,83,82
57,3/13/04,3:00:00,1.7,5.4,-200,-200
58,3/13/04,4:00:00,-200.0,6.2,109,83
59,3/13/04,5:00:00,1.0,2.6,62,65
60,3/13/04,6:00:00,1.2,2.9,53,60
61,3/13/04,7:00:00,1.5,5.1,139,77
62,3/13/04,8:00:00,2.7,11.8,256,96
63,3/13/04,9:00:00,3.7,15.1,295,119
64,3/13/04,10:00:00,3.2,12.9,250,126
65,3/13/04,11:00:00,4.1,16.1,296,158
66,3/13/04,12:00:00,3.6,14.0,239,161
67,3/13/04,13:00:00,2.8,12.3,153,124
68,3/13/04,14:00:00,2.0,8.6,118,102
69,3/13/04,15:00:00,2.0,9.2,119,116
70,3/13/04,16:00:00,2.5,10.2,138,124
71,3/13/04,17:00:00,2.3,10.6,148,125
72,3/13/04,18:00:00,3.2,15.5,227,148
73,3/13/04,19:00:00,4.2,19.6,277,165
74,3/13/04,20:00:00,4.2,19.2,279,161
75,3/13/04,21:00:00,4.2,18.3,283,159
76,3/13/04,22:00:00,3.1,13.1,214,143
77,3/13/04,23:00:00,2.6,10.9,172,130
78,3/14/04,0:00:00,2.9,11.0,190,129
79,3/14/04,1:00:00,2.8,11.9,174,119
80,3/14/04,2:00:00,2.5,8.6,128,104
81,3/14/04,3:00:00,2.4,9.7,-200,-200
82,3/14/04,4:00:00,-200.0,5.2,70,82
83,3/14/04,5:00:00,1.2,3.7,53,70
84,3/14/04,6:00:00,1.0,2.5,44,63
85,3/14/04,7:00:00,0.9,2.4,74,67
86,3/14/04,8:00:00,1.4,4.2,101,84
87,3/14/04,9:00:00,1.6,6.4,118,83
88,3/14/04,10:00:00,2.2,8.6,144,98
89,3/14/04,11:00:00,2.8,10.9,176,114
90,3/14/04,12:00:00,2.8,10.7,161,119
91,3/14/04,13:00:00,2.0,7.5,113,104
92,3/14/04,14:00:00,1.8,7.5,103,102
93,3/14/04,15:00:00,1.9,8.2,112,107
94,3/14/04,16:00:00,3.0,11.9,170,129
95,3/14/04,17:00:00,2.9,12.0,180,128
96,3/14/04,18:00:00,2.5,12.2,160,121
97,3/14/04,19:00:00,4.6,20.6,261,157
98,3/14/04,20:00:00,5.9,23.1,325,173
99,3/14/04,21:00:00,3.4,14.7,217,146
100,3/14/04,22:00:00,2.1,9.0,146,121
101,3/14/04,23:00:00,2.2,8.8,152,119
102,3/15/04,0:00:00,1.8,7.4,104,99
103,3/15/04,1:00:00,1.8,6.9,106,93
104,3/15/04,2:00:00,1.8,7.0,108,88
105,3/15/04,3:00:00,1.1,4.4,-200,-200
106,3/15/04,4:00:00,-200.0,4.0,66,71
107,3/15/04,5:00:00,1.0,3.9,88,74
108,3/15/04,6:00:00,1.4,6.4,138,80
109,3/15/04,7:00:00,2.2,9.7,228,89
110,3/15/04,8:00:00,5.5,25.9,360,114
111,3/15/04,9:00:00,8.1,36.7,478,149
112,3/15/04,10:00:00,5.8,26.6,394,157
113,3/15/04,11:00:00,4.2,20.1,319,155
114,3/15/04,12:00:00,3.1,14.1,201,134
115,3/15/04,13:00:00,2.9,14.9,171,119
116,3/15/04,14:00:00,2.9,15.4,159,111
117,3/15/04,15:00:00,2.5,12.1,153,104
118,3/15/04,16:00:00,2.3,11.5,143,99
119,3/15/04,17:00:00,2.8,14.8,156,110
120,3/15/04,18:00:00,6.1,32.1,314,162
121,3/15/04,19:00:00,8.0,39.2,404,187
122,3/15/04,20:00:00,6.5,31.0,320,165
123,3/15/04,21:00:00,4.2,19.9,256,145
124,3/15/04,22:00:00,3.2,15.3,193,125
125,3/15/04,23:00:00,1.4,6.9,89,101
126,3/16/04,0:00:00,2.1,11.1,127,103
127,3/16/04,1:00:00,1.2,5.4,79,88
128,3/16/04,2:00:00,0.8,2.8,43,61
129,3/16/04,3:00:00,0.7,2.3,-200,-200
130,3/16/04,4:00:00,-200.0,2.6,59,59
131,3/16/04,5:00:00,0.6,2.0,38,52
132,3/16/04,6:00:00,0.9,3.5,82,64
133,3/16/04,7:00:00,1.3,5.1,99,70
134,3/16/04,8:00:00,3.4,16.2,263,97
135,3/16/04,9:00:00,3.7,19.7,229,95
136,3/16/04,10:00:00,5.3,25.1,396,150
137,3/16/04,11:00:00,4.1,20.0,314,162
138,3/16/04,12:00:00,3.3,18.3,217,154
139,3/16/04,13:00:00,4.0,22.3,252,161
140,3/16/04,14:00:00,3.8,20.4,263,161
141,3/16/04,15:00:00,2.8,14.6,180,128
142,3/16/04,16:00:00,2.9,16.6,184,129
143,3/16/04,17:00:00,2.9,15.8,190,133
144,3/16/04,18:00:00,3.4,17.8,184,139
145,3/16/04,19:00:00,3.9,19.1,181,137
146,3/16/04,20:00:00,3.2,15.8,166,143
147,3/16/04,21:00:00,5.1,24.9,317,177
148,3/16/04,22:00:00,2.6,13.5,184,138
149,3/16/04,23:00:00,1.7,9.1,130,117
150,3/17/04,0:00:00,1.7,8.6,132,107
151,3/17/04,1:00:00,1.2,5.4,95,90
152,3/17/04,2:00:00,0.9,4.1,70,79
153,3/17/04,3:00:00,0.7,2.6,-200,-200
154,3/17/04,4:00:00,-200.0,1.9,54,60
155,3/17/04,5:00:00,0.5,1.6,28,40
156,3/17/04,6:00:00,0.5,1.9,46,53
157,3/17/04,7:00:00,1.6,7.5,160,84
158,3/17/04,8:00:00,4.1,21.4,320,108
159,3/17/04,9:00:00,6.6,36.4,377,127
160,3/17/04,10:00:00,4.3,21.3,280,134
161,3/17/04,11:00:00,2.9,15.4,221,135
162,3/17/04,12:00:00,2.5,12.5,210,142
163,3/17/04,13:00:00,2.8,15.1,204,153
164,3/17/04,14:00:00,2.6,13.7,161,123
165,3/17/04,15:00:00,2.0,10.4,135,104
166,3/17/04,16:00:00,2.9,15.2,186,129
167,3/17/04,17:00:00,2.5,12.3,147,114
168,3/17/04,18:00:00,5.0,27.0,299,158
169,3/17/04,19:00:00,7.6,38.4,411,194
170,3/17/04,20:00:00,6.7,35.1,347,182
171,3/17/04,21:00:00,5.7,27.2,336,180
172,3/17/04,22:00:00,2.8,15.0,202,136
173,3/17/04,23:00:00,2.6,15.7,178,127
174,3/18/04,0:00:00,2.3,13.0,154,116
175,3/18/04,1:00:00,1.4,8.1,92,107
176,3/18/04,2:00:00,1.0,5.5,61,88
177,3/18/04,3:00:00,0.7,3.6,-200,-200
178,3/18/04,4:00:00,-200.0,2.9,60,78
179,3/18/04,5:00:00,0.6,2.5,37,57
180,3/18/04,6:00:00,0.7,3.0,68,71
181,3/18/04,7:00:00,1.5,7.7,139,85
182,3/18/04,8:00:00,4.7,23.3,339,124
183,3/18/04,9:00:00,6.6,35.8,421,151
184,3/18/04,10:00:00,4.5,21.3,349,150
185,3/18/04,11:00:00,2.8,14.3,224,152
186,3/18/04,12:00:00,2.2,12.5,171,139
187,3/18/04,13:00:00,2.2,12.2,149,133
188,3/18/04,14:00:00,2.3,13.1,137,126
189,3/18/04,15:00:00,2.2,14.4,149,128
190,3/18/04,16:00:00,2.8,16.8,172,169
191,3/18/04,17:00:00,2.7,14.5,166,149
192,3/18/04,18:00:00,3.7,21.5,214,156
193,3/18/04,19:00:00,5.1,26.4,280,168
194,3/18/04,20:00:00,5.1,26.0,276,176
195,3/18/04,21:00:00,3.2,14.1,178,135
196,3/18/04,22:00:00,2.1,10.3,129,121
197,3/18/04,23:00:00,1.7,8.3,95,99
198,3/19/04,0:00:00,2.0,8.9,126,106
199,3/19/04,1:00:00,1.6,6.6,103,96
200,3/19/04,2:00:00,0.9,3.6,48,63
201,3/19/04,3:00:00,0.7,2.5,-200,-200
202,3/19/04,4:00:00,-200.0,1.8,20,32
203,3/19/04,5:00:00,0.5,1.3,18,28
204,3/19/04,6:00:00,0.7,2.3,56,61
205,3/19/04,7:00:00,1.5,6.7,115,99
206,3/19/04,8:00:00,4.8,22.8,320,157
207,3/19/04,9:00:00,6.2,31.3,357,166
208,3/19/04,10:00:00,4.0,19.2,253,149
209,3/19/04,11:00:00,3.3,16.4,218,135
